,doi,title,authors,author_corresponding,author_corresponding_institution,relevance,date,category,abstract,url,combined,n_tokens
30,10.1101/2022.03.10.483875,Programming bacteria to sense environmental DNA for multiplexed pathogen detection,"Cheng, Y.-Y.; Chen, Z.; Cao, X.; Ross, T. D.; Falbel, T. G.; Burton, B. M.; Venturelli, O. S.",Ophelia S Venturelli,University of Wisconsin-Madison,2 Probably Irrelevant,2022-12-02,synthetic biology,DNA is a universal and programmable signal of living organisms. Here we developed cell-based DNA sensors by engineering the naturally competent bacterium Bacillus subtilis (B. subtilis) to detect specific DNA sequences in the environment. The DNA sensor strains can identify diverse bacterial species including major human pathogens with high specificity and sensitivity. Multiplexed detection of genomic DNA from different species in complex samples can be achieved by coupling the sensing mechanism to orthogonal fluorescent reporters. We also demonstrate that the DNA sensors can detect the presence of species in the complex samples without requiring DNA extraction. The modularity of the living cell-based DNA sensing mechanism and simple detection procedure could enable programmable DNA sensing for broad applications.,https://www.biorxiv.org/content/early/2022/12/02/2022.03.10.483875,"Title: Programming bacteria to sense environmental DNA for multiplexed pathogen detection; Authors: Cheng, Y.-Y.; Chen, Z.; Cao, X.; Ross, T. D.; Falbel, T. G.; Burton, B. M.; Venturelli, O. S.; Corresponding Author: Ophelia S Venturelli; Author Institution: University of Wisconsin-Madison; Category: synthetic biology; Abstract: DNA is a universal and programmable signal of living organisms. Here we developed cell-based DNA sensors by engineering the naturally competent bacterium Bacillus subtilis (B. subtilis) to detect specific DNA sequences in the environment. The DNA sensor strains can identify diverse bacterial species including major human pathogens with high specificity and sensitivity. Multiplexed detection of genomic DNA from different species in complex samples can be achieved by coupling the sensing mechanism to orthogonal fluorescent reporters. We also demonstrate that the DNA sensors can detect the presence of species in the complex samples without requiring DNA extraction. The modularity of the living cell-based DNA sensing mechanism and simple detection procedure could enable programmable DNA sensing for broad applications.",226
34,10.1101/2022.12.02.518901,Evolutionary Inspired Engineering of Megasynthetases,"Bozhueyuek, K. A. J.; Praeve, L.; Kegler, C.; Kaiser, S.; Shi, Y.-N.; Kuttenlochner, W.; Schenk, L.; Groll, M.; Hochberg, G. K. A.; Bode, H. B.",Helge B Bode,Max-Planck-Institute for terrestrial Microbiology,3 Possibly Relevant,2022-12-02,synthetic biology,"Several clinically used drugs are derived from microorganisms that often produce them via non-ribosomal peptide synthetases (NRPS), giant megasynthases that activate and connect individual amino acids in an assembly line fashion. Since NRPS are not restricted to the incorporation of the 20 proteinogenic amino acids, their efficient manipulation would allow the biotechnological generation of several different peptides including linear, cyclic and further modified derivatives. Here we describe a detailed phylogenetic analysis of several bacterial NRPS that led to the identification of a new recombination breakpoint within the thiolation (T) domain important in natural NRPS evolution. From this an evolutionary-inspired eXchange Unit between T domains (XUT) approach was developed, which allows the assembly of NRPS fragments over a broad range of GC contents, protein similarities, and extender unit specificities, as was shown for the specific production of a proteasome inhibitor, designed and assembled from five different NRPS fragments.",https://www.biorxiv.org/content/early/2022/12/02/2022.12.02.518901,"Title: Evolutionary Inspired Engineering of Megasynthetases; Authors: Bozhueyuek, K. A. J.; Praeve, L.; Kegler, C.; Kaiser, S.; Shi, Y.-N.; Kuttenlochner, W.; Schenk, L.; Groll, M.; Hochberg, G. K. A.; Bode, H. B.; Corresponding Author: Helge B Bode; Author Institution: Max-Planck-Institute for terrestrial Microbiology; Category: synthetic biology; Abstract: Several clinically used drugs are derived from microorganisms that often produce them via non-ribosomal peptide synthetases (NRPS), giant megasynthases that activate and connect individual amino acids in an assembly line fashion. Since NRPS are not restricted to the incorporation of the 20 proteinogenic amino acids, their efficient manipulation would allow the biotechnological generation of several different peptides including linear, cyclic and further modified derivatives. Here we describe a detailed phylogenetic analysis of several bacterial NRPS that led to the identification of a new recombination breakpoint within the thiolation (T) domain important in natural NRPS evolution. From this an evolutionary-inspired eXchange Unit between T domains (XUT) approach was developed, which allows the assembly of NRPS fragments over a broad range of GC contents, protein similarities, and extender unit specificities, as was shown for the specific production of a proteasome inhibitor, designed and assembled from five different NRPS fragments.",309
84,10.1101/2022.12.01.518671,Genomic analysis of Mycobacterium brumae sustains its nonpathogenic and immunogenic phenotype,"Renau-Minguez, C.; Herrero-Abadia, P.; Sentandreu, V.; Ruiz-Rodriguez, P.; Torrents, E.; Chiner-Oms, A.; Torres-Puente, M.; Comas Espadas, I.; Julian, E.; Coscolla, M.",Mireia Coscolla,"I2SysBio, University of Valencia-FISABIO",3 Possibly Relevant,2022-12-02,genetics,"M. brumae is a rapid-growing, non-pathogenic Mycobacterium species, originally isolated from environmental and human samples in Barcelona, Spain. M. brumae is not pathogenic and its in vitro phenotype and immunogenic properties have been well characterized. However, the knowledge of its underlying genetic composition is still incomplete. In this study, we first describe the 4 Mb genome of the M. brumae type strain ATCC 51384T assembling PacBio reads, and second, we assess the low intraspecies variability by comparing the type strain with Illumina reads from three additional strains. M. brumae genome is composed of a circular chromosome with a high GC content of 69.2 % and containing 3,791 CDSs, 97 pseudogenes, one prophage and no CRISPR loci. M. brumae has shown no pathogenic potential in in vivo experiments, and our genomic analysis confirms its phylogenetic position with other non-pathogenic and rapid growing mycobacteria. Accordingly, we determined the absence of virulence related genes, such as ESX-1 locus and most PE/PPE genes, among others. Although immunogenic potential of M. brumae was proved to be as high as Mycobacterium bovis BCG, the only mycobacteria licensed to treat cancer, the genomic content of M. tuberculosis T cell and B cell antigens in M. brumae is considerably lower than those of M. bovis BCG. Overall, this work provides relevant genomic data on one of the species of the mycobacterial genus with high therapeutic potential.",https://www.biorxiv.org/content/early/2022/12/02/2022.12.01.518671,"Title: Genomic analysis of Mycobacterium brumae sustains its nonpathogenic and immunogenic phenotype; Authors: Renau-Minguez, C.; Herrero-Abadia, P.; Sentandreu, V.; Ruiz-Rodriguez, P.; Torrents, E.; Chiner-Oms, A.; Torres-Puente, M.; Comas Espadas, I.; Julian, E.; Coscolla, M.; Corresponding Author: Mireia Coscolla; Author Institution: I2SysBio, University of Valencia-FISABIO; Category: genetics; Abstract: M. brumae is a rapid-growing, non-pathogenic Mycobacterium species, originally isolated from environmental and human samples in Barcelona, Spain. M. brumae is not pathogenic and its in vitro phenotype and immunogenic properties have been well characterized. However, the knowledge of its underlying genetic composition is still incomplete. In this study, we first describe the 4 Mb genome of the M. brumae type strain ATCC 51384T assembling PacBio reads, and second, we assess the low intraspecies variability by comparing the type strain with Illumina reads from three additional strains. M. brumae genome is composed of a circular chromosome with a high GC content of 69.2 % and containing 3,791 CDSs, 97 pseudogenes, one prophage and no CRISPR loci. M. brumae has shown no pathogenic potential in in vivo experiments, and our genomic analysis confirms its phylogenetic position with other non-pathogenic and rapid growing mycobacteria. Accordingly, we determined the absence of virulence related genes, such as ESX-1 locus and most PE/PPE genes, among others. Although immunogenic potential of M. brumae was proved to be as high as Mycobacterium bovis BCG, the only mycobacteria licensed to treat cancer, the genomic content of M. tuberculosis T cell and B cell antigens in M. brumae is considerably lower than those of M. bovis BCG. Overall, this work provides relevant genomic data on one of the species of the mycobacterial genus with high therapeutic potential.",459
85,10.1101/2022.11.29.517349,Adaptive collective motions: a hybrid method to improve conformational sampling with molecular dynamics and normal modes,"Resende-Lara, P. T.; Costa, M. G. S.; Dudas, B.; Perahia, D.",David Perahia,Ecole Normale Superieure Paris-Saclay,3 Possibly Relevant,2022-12-02,biophysics,"Protein function is closely related to its structure and dynamics. Due to its large number of degrees of freedom, proteins adopt a large number of conformations, which describe a highly complex potential energy landscape. Considering the huge ensemble of conformations in dynamic equilibrium in solution, detailed investigation of proteins dynamics is extremely costly. Therefore, a significant number of different methods have emerged in order to improve the conformational sampling of biomolecules. One of these methods is Molecular Dynamics with excited Normal Modes (MDeNM) in which normal modes are used as collective variables in molecular dynamics. Here, we present a new implementation of the MDeNM method that allows a continuously controlled kinetic excitation energy in the normal mode space, while taking into account the natural constraints imposed either by the structure or the environment. These implementations prevent unphysical structural distortions. We tested the new approach on bacteriophage's T4 lysozyme, Gallus gallus hen egg-white lysozyme and Staphylococcus aureus membrane-bound transglycosylase. Our results showed that the new approach outperformed free MD sampling and preserved the structural features comparatively to the original MDeNM approach. We also observed that by adaptively changing the excitation direction during calculations, proteins follow new transition paths preventing structural distortions.",https://www.biorxiv.org/content/early/2022/12/02/2022.11.29.517349,"Title: Adaptive collective motions: a hybrid method to improve conformational sampling with molecular dynamics and normal modes; Authors: Resende-Lara, P. T.; Costa, M. G. S.; Dudas, B.; Perahia, D.; Corresponding Author: David Perahia; Author Institution: Ecole Normale Superieure Paris-Saclay; Category: biophysics; Abstract: Protein function is closely related to its structure and dynamics. Due to its large number of degrees of freedom, proteins adopt a large number of conformations, which describe a highly complex potential energy landscape. Considering the huge ensemble of conformations in dynamic equilibrium in solution, detailed investigation of proteins dynamics is extremely costly. Therefore, a significant number of different methods have emerged in order to improve the conformational sampling of biomolecules. One of these methods is Molecular Dynamics with excited Normal Modes (MDeNM) in which normal modes are used as collective variables in molecular dynamics. Here, we present a new implementation of the MDeNM method that allows a continuously controlled kinetic excitation energy in the normal mode space, while taking into account the natural constraints imposed either by the structure or the environment. These implementations prevent unphysical structural distortions. We tested the new approach on bacteriophage's T4 lysozyme, Gallus gallus hen egg-white lysozyme and Staphylococcus aureus membrane-bound transglycosylase. Our results showed that the new approach outperformed free MD sampling and preserved the structural features comparatively to the original MDeNM approach. We also observed that by adaptively changing the excitation direction during calculations, proteins follow new transition paths preventing structural distortions.",346
86,10.1101/2022.11.29.518410,Probing Conformational Landscapes and Mechanisms of Allosteric Communication in the Functional States of the ABL Kinase Domain Using Multiscale Simulations and Network-Based Mutational Profiling of Allosteric Residue Potentials,"Krishnan, K.; Tian, H.; Tao, P.; Verkhivker, G.",Gennady Verkhivker,Chapman University School of Pharmacy,2 Probably Irrelevant,2022-12-02,biophysics,"In the current study, multiscale simulation approaches and dynamic network methods are employed to examine the dynamic and energetic details of conformational landscapes and allosteric interactions in the ABL kinase domain that determine the kinase functions. Using a plethora of synergistic computational approaches, we elucidate how conformational transitions between the active and inactive ABL states can employ allosteric regulatory switches to modulate the intramolecular communication networks between the ATP site, the substrate binding region, and the allosteric binding pocket. A perturbation-based network approach that implements mutational profiling of allosteric residue propensities and communications in the ABL states is proposed. Consistent with the biophysical experiments, the results reveal functionally significant shifts of the allosteric interaction networks in which preferential communication paths between the ATP binding site and substrate regions in the active ABL state become suppressed in the closed inactive ABL form, which in turn features favorable allosteric couplings between the ATP site and the allosteric binding pocket. By integrating the results of atomistic simulations with dimensionality reduction methods and Markov state models we analyze the mechanistic role of the macrostates and characterize kinetic transitions between the ABL conformational states. Using network-based mutational scanning of allosteric residue propensities, this study provides a comprehensive computational analysis of the long-range communications in the ABL kinase domain and identifies conserved regulatory hotspots that modulate kinase activity and allosteric cross-talk between the allosteric pocket, ATP binding site and substrate binding regions. The results of this study suggest that probing the intramolecular communication networks in the ABL conformations through targeted modifications of vulnerable network links may be useful for engineering and modulating kinase activities.",https://www.biorxiv.org/content/early/2022/12/02/2022.11.29.518410,"Title: Probing Conformational Landscapes and Mechanisms of Allosteric Communication in the Functional States of the ABL Kinase Domain Using Multiscale Simulations and Network-Based Mutational Profiling of Allosteric Residue Potentials; Authors: Krishnan, K.; Tian, H.; Tao, P.; Verkhivker, G.; Corresponding Author: Gennady Verkhivker; Author Institution: Chapman University School of Pharmacy; Category: biophysics; Abstract: In the current study, multiscale simulation approaches and dynamic network methods are employed to examine the dynamic and energetic details of conformational landscapes and allosteric interactions in the ABL kinase domain that determine the kinase functions. Using a plethora of synergistic computational approaches, we elucidate how conformational transitions between the active and inactive ABL states can employ allosteric regulatory switches to modulate the intramolecular communication networks between the ATP site, the substrate binding region, and the allosteric binding pocket. A perturbation-based network approach that implements mutational profiling of allosteric residue propensities and communications in the ABL states is proposed. Consistent with the biophysical experiments, the results reveal functionally significant shifts of the allosteric interaction networks in which preferential communication paths between the ATP binding site and substrate regions in the active ABL state become suppressed in the closed inactive ABL form, which in turn features favorable allosteric couplings between the ATP site and the allosteric binding pocket. By integrating the results of atomistic simulations with dimensionality reduction methods and Markov state models we analyze the mechanistic role of the macrostates and characterize kinetic transitions between the ABL conformational states. Using network-based mutational scanning of allosteric residue propensities, this study provides a comprehensive computational analysis of the long-range communications in the ABL kinase domain and identifies conserved regulatory hotspots that modulate kinase activity and allosteric cross-talk between the allosteric pocket, ATP binding site and substrate binding regions. The results of this study suggest that probing the intramolecular communication networks in the ABL conformations through targeted modifications of vulnerable network links may be useful for engineering and modulating kinase activities.",455
87,10.1101/2022.11.30.518575,Temporal Evolution of the HIV Viral Population under Drug Selection Pressure,"Choudhuri, I.; Biswas, A.; Haldane, A.; Levy, R.",Ron Levy,Temple University,3 Possibly Relevant,2022-12-02,biophysics,"Drug resistance in human immunodeficiency virus (HIV) continues to be a pervasive problem affecting the lives of millions of patients worldwide. In this study, using a Potts protein sequence-covariation statistical energy model combined with Kinetic Monte Carlo (KMC) simulations of evolutionary trajectories under drug selection pressure, we explore the evolution of drug resistance in HIV, starting from an ensemble of drug-naive patient protein sequences. We follow the time course of a total of more than fifty drug resistance mutations in Protease, Reverse Transcriptase, and Integrase. The KMC model on the fitness landscape accurately captures the relative acquisition times of drug-resistance mutations reported in the literature. We find primary drug-resistance mutations with long acquisition times typically require a larger number of accessory mutations to prime the sequence background for their acquisition and eventual entrenchment, while those with shorter acquisition times exhibit pre-existing high initial biases within the drug-naive patient population. We introduce a new metric, the potentiation factor in drug-naive patient protein sequences, that can be an accurate predictor of acquisition times for mutations subject to external selection pressures.",https://www.biorxiv.org/content/early/2022/12/02/2022.11.30.518575,"Title: Temporal Evolution of the HIV Viral Population under Drug Selection Pressure; Authors: Choudhuri, I.; Biswas, A.; Haldane, A.; Levy, R.; Corresponding Author: Ron Levy; Author Institution: Temple University; Category: biophysics; Abstract: Drug resistance in human immunodeficiency virus (HIV) continues to be a pervasive problem affecting the lives of millions of patients worldwide. In this study, using a Potts protein sequence-covariation statistical energy model combined with Kinetic Monte Carlo (KMC) simulations of evolutionary trajectories under drug selection pressure, we explore the evolution of drug resistance in HIV, starting from an ensemble of drug-naive patient protein sequences. We follow the time course of a total of more than fifty drug resistance mutations in Protease, Reverse Transcriptase, and Integrase. The KMC model on the fitness landscape accurately captures the relative acquisition times of drug-resistance mutations reported in the literature. We find primary drug-resistance mutations with long acquisition times typically require a larger number of accessory mutations to prime the sequence background for their acquisition and eventual entrenchment, while those with shorter acquisition times exhibit pre-existing high initial biases within the drug-naive patient population. We introduce a new metric, the potentiation factor in drug-naive patient protein sequences, that can be an accurate predictor of acquisition times for mutations subject to external selection pressures.",286
91,10.1101/2022.11.29.518205,Maternal obesity driven changes in collagen linearity of breast extracellular matrix induces invasive mammary epithelial cell phenotype,"Amens, J. N.; Bahcecioglu, G.; Dwyer, K.; Yue, X.; Stack, S.; Hilliard, T.; Zorlutuna, P.",Pinar Zorlutuna,University of Notre Dame,1 Certainly Irrelevant,2022-12-02,bioengineering,"Obesity has been linked with numerous health issues as well as an increased risk of breast cancer. Although effects of direct obesity in patient outcomes is widely studied, effects of exposure to obesity-related systemic influences in utero has been overlooked. In this study, we investigated the effect of multigenerational obesity on epithelial cell migration and invasion using decellularized breast tissues explanted from normal female mouse pups from a diet induced multigenerational obesity mouse model. We first studied the effect of multigenerational diet on the mechanical properties, adipocyte size, and collagen structure of these mouse breast tissues, and then, examined the migration and invasion behavior of normal (KTB-21) and cancerous (MDA-MB-231) human mammary epithelial cells on the decellularized matrices from each diet group. Breast tissues of mice whose dams had been fed with high-fat diet exhibited larger adipocytes and thicker and curvier collagen fibers, but only slightly elevated elastic modulus and inflammatory cytokine levels. MDA-MB-231 cancer cell motility and invasion were significantly greater on the decellularized matrices from mice whose dams were fed with high-fat diet. A similar trend was observed with normal KTB-21 cells. Our results showed that the collagen curvature was the dominating factor on this enhanced motility and stretching the matrices to equalize the collagen fiber linearity of the matrices ameliorated the observed increase in cell migration and invasion in the mice that were exposed to a high-fat diet. Previous studies indicated an increase in serum leptin concentration for those children born to an obese mother. We generated extracellular matrices using primary fibroblasts exposed to various concentrations of leptin. This produced curvier ECM and increased breast cancer cell motility for cells seeded on the decellularized ECM generated with increasing leptin concentration. Our study shows that exposure to obesity in utero is influential in determining the extracellular matrix structure, and that the resultant changes in collagen curvature is a critical factor in regulating the migration and invasion of breast cancer cells.",https://www.biorxiv.org/content/early/2022/12/02/2022.11.29.518205,"Title: Maternal obesity driven changes in collagen linearity of breast extracellular matrix induces invasive mammary epithelial cell phenotype; Authors: Amens, J. N.; Bahcecioglu, G.; Dwyer, K.; Yue, X.; Stack, S.; Hilliard, T.; Zorlutuna, P.; Corresponding Author: Pinar Zorlutuna; Author Institution: University of Notre Dame; Category: bioengineering; Abstract: Obesity has been linked with numerous health issues as well as an increased risk of breast cancer. Although effects of direct obesity in patient outcomes is widely studied, effects of exposure to obesity-related systemic influences in utero has been overlooked. In this study, we investigated the effect of multigenerational obesity on epithelial cell migration and invasion using decellularized breast tissues explanted from normal female mouse pups from a diet induced multigenerational obesity mouse model. We first studied the effect of multigenerational diet on the mechanical properties, adipocyte size, and collagen structure of these mouse breast tissues, and then, examined the migration and invasion behavior of normal (KTB-21) and cancerous (MDA-MB-231) human mammary epithelial cells on the decellularized matrices from each diet group. Breast tissues of mice whose dams had been fed with high-fat diet exhibited larger adipocytes and thicker and curvier collagen fibers, but only slightly elevated elastic modulus and inflammatory cytokine levels. MDA-MB-231 cancer cell motility and invasion were significantly greater on the decellularized matrices from mice whose dams were fed with high-fat diet. A similar trend was observed with normal KTB-21 cells. Our results showed that the collagen curvature was the dominating factor on this enhanced motility and stretching the matrices to equalize the collagen fiber linearity of the matrices ameliorated the observed increase in cell migration and invasion in the mice that were exposed to a high-fat diet. Previous studies indicated an increase in serum leptin concentration for those children born to an obese mother. We generated extracellular matrices using primary fibroblasts exposed to various concentrations of leptin. This produced curvier ECM and increased breast cancer cell motility for cells seeded on the decellularized ECM generated with increasing leptin concentration. Our study shows that exposure to obesity in utero is influential in determining the extracellular matrix structure, and that the resultant changes in collagen curvature is a critical factor in regulating the migration and invasion of breast cancer cells.",505
94,10.1101/2022.11.29.518236,Tamoxifen exacerbates morbidity and mortality in mice receiving medetomidine anaesthesia,"Rashbrook, V. S.; Denti, L.; Ruhrberg, C.",Christiana Ruhrberg,University College London,1 Certainly Irrelevant,2022-12-02,genetics,"Tamoxifen-induced CreER-LoxP recombination is often used to induce spatiotemporally controlled gene deletion in genetically modified mice. Prior work has shown that tamoxifen and tamoxifen-induced CreER activation can have off-target effects that should be controlled. However, it has not yet been reported whether tamoxifen administration, independently of CreER expression, interacts adversely with commonly used anaesthetic drugs such as medetomidine or its enantiomer dexmedetomidine in mice. Here we report a high incidence of urinary plug formation linked to morbidity after ketamine-medetomidine anaesthesia in male mice previously injected with tamoxifen. As dexmedetomidine causes morbidity and mortality in male mice at higher rates than medetomidine, our findings suggest that both medetomidine and dexmedetomidine are both contra-indicated for male mice after tamoxifen treatment.",https://www.biorxiv.org/content/early/2022/12/02/2022.11.29.518236,"Title: Tamoxifen exacerbates morbidity and mortality in mice receiving medetomidine anaesthesia; Authors: Rashbrook, V. S.; Denti, L.; Ruhrberg, C.; Corresponding Author: Christiana Ruhrberg; Author Institution: University College London; Category: genetics; Abstract: Tamoxifen-induced CreER-LoxP recombination is often used to induce spatiotemporally controlled gene deletion in genetically modified mice. Prior work has shown that tamoxifen and tamoxifen-induced CreER activation can have off-target effects that should be controlled. However, it has not yet been reported whether tamoxifen administration, independently of CreER expression, interacts adversely with commonly used anaesthetic drugs such as medetomidine or its enantiomer dexmedetomidine in mice. Here we report a high incidence of urinary plug formation linked to morbidity after ketamine-medetomidine anaesthesia in male mice previously injected with tamoxifen. As dexmedetomidine causes morbidity and mortality in male mice at higher rates than medetomidine, our findings suggest that both medetomidine and dexmedetomidine are both contra-indicated for male mice after tamoxifen treatment.",252
96,10.1101/2022.11.30.518486,Spontaneous body wall contractions stabilize the fluid microenvironment that shapes host-microbe associations,"Nawroth, J. C.; Giez, C.; Klimovich, A.; Kanso, E. A.; Bosch, T. C.",Thomas CG Bosch,"Zoological Institute, Christian-Albrechts-University Kiel, Germany",1 Certainly Irrelevant,2022-12-02,biophysics,"The freshwater polyp Hydra is a popular biological model system; however, we still do not understand one of its most salient behaviours, the generation of spontaneous body wall contractions. Here, by applying experimental fluid dynamics analysis and mathematical modelling, we provide functional evidence that spontaneous contractions of body walls enhance the transport of chemical compounds from and to the tissue surface where symbiotic bacteria reside. Experimentally, a reduction in the frequency of spontaneous body wall contractions is associated with a changed composition of the colonizing microbiota. Together, our findings suggest that spontaneous body wall contractions create an important fluid transport mechanism that (1) may shape and stabilize specific host-microbe associations and (2) create fluid microhabitats that may modulate the spatial distribution of the colonizing microbes. This mechanism may be more broadly applicable to animal-microbe interactions since research has shown that rhythmic spontaneous contractions in the gastrointestinal tracts are essential for maintaining normal microbiota.",https://www.biorxiv.org/content/early/2022/12/02/2022.11.30.518486,"Title: Spontaneous body wall contractions stabilize the fluid microenvironment that shapes host-microbe associations; Authors: Nawroth, J. C.; Giez, C.; Klimovich, A.; Kanso, E. A.; Bosch, T. C.; Corresponding Author: Thomas CG Bosch; Author Institution: Zoological Institute, Christian-Albrechts-University Kiel, Germany; Category: biophysics; Abstract: The freshwater polyp Hydra is a popular biological model system; however, we still do not understand one of its most salient behaviours, the generation of spontaneous body wall contractions. Here, by applying experimental fluid dynamics analysis and mathematical modelling, we provide functional evidence that spontaneous contractions of body walls enhance the transport of chemical compounds from and to the tissue surface where symbiotic bacteria reside. Experimentally, a reduction in the frequency of spontaneous body wall contractions is associated with a changed composition of the colonizing microbiota. Together, our findings suggest that spontaneous body wall contractions create an important fluid transport mechanism that (1) may shape and stabilize specific host-microbe associations and (2) create fluid microhabitats that may modulate the spatial distribution of the colonizing microbes. This mechanism may be more broadly applicable to animal-microbe interactions since research has shown that rhythmic spontaneous contractions in the gastrointestinal tracts are essential for maintaining normal microbiota.",284
97,10.1101/2022.11.29.518375,Dual-color single molecule localization microscopy on transparent polymer waveguide chips,"Engdahl, A. K.; Dutta, S. B.; Belle, S.; Schuerstedt, J.; Szafranska, K.; Hellmann, R.; McCourt, P.; Huser, T.; Schuettpelz, M.",Anders K Engdahl,Bielefeld University,4 Very Relevant,2022-12-02,biophysics,"Photonic waveguide chips offer near-field excitation of biological samples, which enables cost-effective, large field-of-view super-resolution microscopy without the need for high numerical aperture (NA) objective lenses. Single molecule localization based super-resolution microscopy that requires high illumination intensities is currently limited to solid state photonic waveguide chips composed of hard-coated, high NA planar waveguides deposited on opaque substrates. These platforms do not permit epi-detection of fluorescence through the substrate, which limits the use of photonic waveguide chips to the upright configuration. Additionally, the detection efficiency is reduced because the majority of the fluorescence emission is directed towards the high refractive index substrate. A low cost waveguide chip based on a polymer core material deposited on common #1.5 coverslips that is easy to produce was recently demonstrated. Here, a platform that is capable of performing single-molecule localization microscopy (SMLM) of biological samples using polymer-based photonic waveguide chips is presented, enabling super-solution microscopy in the inverted microscope configuration. Super-resolved imaging of two different structures of the cytoskeleton in primary liver sinusoidal endothelial cells (LSECs) by two popular SMLM methods, dSTORM and DNA-PAINT, down to 23 nm is demonstrated.",https://www.biorxiv.org/content/early/2022/12/02/2022.11.29.518375,"Title: Dual-color single molecule localization microscopy on transparent polymer waveguide chips; Authors: Engdahl, A. K.; Dutta, S. B.; Belle, S.; Schuerstedt, J.; Szafranska, K.; Hellmann, R.; McCourt, P.; Huser, T.; Schuettpelz, M.; Corresponding Author: Anders K Engdahl; Author Institution: Bielefeld University; Category: biophysics; Abstract: Photonic waveguide chips offer near-field excitation of biological samples, which enables cost-effective, large field-of-view super-resolution microscopy without the need for high numerical aperture (NA) objective lenses. Single molecule localization based super-resolution microscopy that requires high illumination intensities is currently limited to solid state photonic waveguide chips composed of hard-coated, high NA planar waveguides deposited on opaque substrates. These platforms do not permit epi-detection of fluorescence through the substrate, which limits the use of photonic waveguide chips to the upright configuration. Additionally, the detection efficiency is reduced because the majority of the fluorescence emission is directed towards the high refractive index substrate. A low cost waveguide chip based on a polymer core material deposited on common #1.5 coverslips that is easy to produce was recently demonstrated. Here, a platform that is capable of performing single-molecule localization microscopy (SMLM) of biological samples using polymer-based photonic waveguide chips is presented, enabling super-solution microscopy in the inverted microscope configuration. Super-resolved imaging of two different structures of the cytoskeleton in primary liver sinusoidal endothelial cells (LSECs) by two popular SMLM methods, dSTORM and DNA-PAINT, down to 23 nm is demonstrated.",362
