,doi,title,authors,author_corresponding,author_corresponding_institution,date,category,abstract,url,combined,n_tokens
0,10.1101/2021.09.08.459371,Identification and characterisation of Botrylloides species from Aotearoa New Zealand coasts,"Temiz, B.; Clarke, R. M.; Page, M.; Lamare, M.; Wilson, M. J.",Megan J Wilson,University of Otago,2023-01-08,genetics,"Ascidians are marine filter feeder primitive chordates. Botrylloides ascidians possess diverse biological abilities like whole-body regeneration (WBR), hibernation/aestivation, blastogenesis, metamorphosis, and natural chimerism. However, the absence of distinctive morphological features often makes identification problematic. Botrylloides diegensis is an ascidian that has been misidentified in previous studies and is recorded in GenBank as Botrylloides leachii due to the high morphological similarity between the sister species. More available sequences and strategies around identification would help resolve some of the confusion currently surrounding its ambiguous nature. We collected several Botrylloides samples from 7 locations around New Zealand - Dunedin, Christchurch, Picton, Nelson, Whangateau, New Plymouth and Invercargill - and barcoded the species based on Cytochrome Oxidase I, Histone 3, 18S, and 28S ribosomal RNA markers. Network and Bayesian trees confirmed the presence of three Botrylloides species: B. diegensis, B. jacksonianum, and B. aff. anceps. Additionally, morphotypes of three species were investigated regarding zooid size, area, tentacle numbers and colonial arrangement.",https://www.biorxiv.org/content/early/2023/01/08/2021.09.08.459371,"Title: Identification and characterisation of Botrylloides species from Aotearoa New Zealand coasts; Authors: Temiz, B.; Clarke, R. M.; Page, M.; Lamare, M.; Wilson, M. J.; Corresponding Author: Megan J Wilson; Author Institution: University of Otago; Category: genetics; Abstract: Ascidians are marine filter feeder primitive chordates. Botrylloides ascidians possess diverse biological abilities like whole-body regeneration (WBR), hibernation/aestivation, blastogenesis, metamorphosis, and natural chimerism. However, the absence of distinctive morphological features often makes identification problematic. Botrylloides diegensis is an ascidian that has been misidentified in previous studies and is recorded in GenBank as Botrylloides leachii due to the high morphological similarity between the sister species. More available sequences and strategies around identification would help resolve some of the confusion currently surrounding its ambiguous nature. We collected several Botrylloides samples from 7 locations around New Zealand - Dunedin, Christchurch, Picton, Nelson, Whangateau, New Plymouth and Invercargill - and barcoded the species based on Cytochrome Oxidase I, Histone 3, 18S, and 28S ribosomal RNA markers. Network and Bayesian trees confirmed the presence of three Botrylloides species: B. diegensis, B. jacksonianum, and B. aff. anceps. Additionally, morphotypes of three species were investigated regarding zooid size, area, tentacle numbers and colonial arrangement.",340
1,10.1101/2022.06.25.497591,Replicative aging impedes stress-induced assembly of a key human protein disaggregase,"Mathangasinghe, Y.; Alberts, N.; Rosado, C. J.; Cox, D.; Payne, N. L.; Ormsby, A. R.; Alp, K. M.; Sakson, R.; Uthishtran, S.; Ruppert, T.; Arumugam, S.; Hatters, D. M.; Kampinga, H. H.; Nillegoda, N. B.",Nadinath B Nillegoda,"Australian Regenerative Medicine Institute, Monash University, Clayton, Victoria, Australia; Centre for Dementia and Brain Repair at the Australian Regenerative",2023-01-08,cell biology,"The collapse of protein homeostasis manifests itself in a toxic protein aggregation cascade, which is associated with degenerative diseases and aging. To solubilize aggregates, dedicated protein disaggregases exist in unicellular organisms, but these have no nuclear/cytosolic orthologs in metazoa. Alternative metazoan disaggregation machines have been described, but how these are operated and regulated in vivo remained unknown. We show that protein disaggregases are functionally diversified in human cells to efficiently target different types of stress-induced aggregates in sequential and temporally distinct phases. In particular, we show the selective assembly of an Hsp70-DNAJA1-DNAJB1 trimeric disaggregase that forms during late phase of stress recovery., i.e., after VCP-dependent solubilization of non-native proteins that accumulate in cellular condensates such as nucleoli or stress granules. When activated, the trimeric disaggregase provides resistance to stress toxicity and contributes to amyloid disposal. Strikingly, this disaggregase collapses early in cells undergoing replicative aging with important underlining pathophysiological consequences.",https://www.biorxiv.org/content/early/2023/01/08/2022.06.25.497591,"Title: Replicative aging impedes stress-induced assembly of a key human protein disaggregase; Authors: Mathangasinghe, Y.; Alberts, N.; Rosado, C. J.; Cox, D.; Payne, N. L.; Ormsby, A. R.; Alp, K. M.; Sakson, R.; Uthishtran, S.; Ruppert, T.; Arumugam, S.; Hatters, D. M.; Kampinga, H. H.; Nillegoda, N. B.; Corresponding Author: Nadinath B Nillegoda; Author Institution: Australian Regenerative Medicine Institute, Monash University, Clayton, Victoria, Australia; Centre for Dementia and Brain Repair at the Australian Regenerative; Category: cell biology; Abstract: The collapse of protein homeostasis manifests itself in a toxic protein aggregation cascade, which is associated with degenerative diseases and aging. To solubilize aggregates, dedicated protein disaggregases exist in unicellular organisms, but these have no nuclear/cytosolic orthologs in metazoa. Alternative metazoan disaggregation machines have been described, but how these are operated and regulated in vivo remained unknown. We show that protein disaggregases are functionally diversified in human cells to efficiently target different types of stress-induced aggregates in sequential and temporally distinct phases. In particular, we show the selective assembly of an Hsp70-DNAJA1-DNAJB1 trimeric disaggregase that forms during late phase of stress recovery., i.e., after VCP-dependent solubilization of non-native proteins that accumulate in cellular condensates such as nucleoli or stress granules. When activated, the trimeric disaggregase provides resistance to stress toxicity and contributes to amyloid disposal. Strikingly, this disaggregase collapses early in cells undergoing replicative aging with important underlining pathophysiological consequences.",393
2,10.1101/2022.08.29.505691,Sequence to graph alignment using gap-sensitive co-linear chaining,"Chandra, G.; Jain, C.",Chirag Jain,Indian Institute of Science,2023-01-08,bioinformatics,"Co-linear chaining is a widely used technique in sequence alignment tools that follow seed-filter-extend methodology. It is a mathematically rigorous approach to combine short exact matches. For colinear chaining between two sequences, efficient subquadratic-time chaining algorithms are well-known for linear, concave and convex gap cost functions [Eppstein et al. JACM92]. However, developing extensions of chaining algorithms for directed acyclic graphs (DAGs) has been challenging. Recently, a new sparse dynamic programming framework was introduced that exploits small path cover of pangenome reference DAGs, and enables efficient chaining [Makinen et al. TALG19, RECOMB18]. However, the underlying problem formulation did not consider gap cost which makes chaining less effective in practice. To address this, we develop novel problem formulations and optimal chaining algorithms that support a variety of gap cost functions. We demonstrate empirically the ability of our provably-good chaining implementation to align long reads more precisely in comparison to existing aligners. For mapping simulated long reads from human genome to a pangenome DAG of 95 human haplotypes, we achieve 98.7% precision while leaving < 2% reads unmapped.

Implementationhttps://github.com/at-cg/minichain",https://www.biorxiv.org/content/early/2023/01/08/2022.08.29.505691,"Title: Sequence to graph alignment using gap-sensitive co-linear chaining; Authors: Chandra, G.; Jain, C.; Corresponding Author: Chirag Jain; Author Institution: Indian Institute of Science; Category: bioinformatics; Abstract: Co-linear chaining is a widely used technique in sequence alignment tools that follow seed-filter-extend methodology. It is a mathematically rigorous approach to combine short exact matches. For colinear chaining between two sequences, efficient subquadratic-time chaining algorithms are well-known for linear, concave and convex gap cost functions [Eppstein et al. JACM92]. However, developing extensions of chaining algorithms for directed acyclic graphs (DAGs) has been challenging. Recently, a new sparse dynamic programming framework was introduced that exploits small path cover of pangenome reference DAGs, and enables efficient chaining [Makinen et al. TALG19, RECOMB18]. However, the underlying problem formulation did not consider gap cost which makes chaining less effective in practice. To address this, we develop novel problem formulations and optimal chaining algorithms that support a variety of gap cost functions. We demonstrate empirically the ability of our provably-good chaining implementation to align long reads more precisely in comparison to existing aligners. For mapping simulated long reads from human genome to a pangenome DAG of 95 human haplotypes, we achieve 98.7% precision while leaving < 2% reads unmapped.

Implementationhttps://github.com/at-cg/minichain",305
3,10.1101/2022.12.10.519922,Regulation of Nuclear Transcription by Mitochondrial RNA,"Sriram, K.; Qi, Z.; Yuan, D.; Malhi, N. K.; Liu, X.; Calandrelli, R.; Luo, Y.; Jin, S.; Shi, J.; Salas, M.; Dang, R.; Armstrong, B.; Priceman, S. J.; Wang, P.; Liao, J.; Natarajan, R.; Zhong, S.; Chen, Z. B.",Zhen Bouman Chen,"Beckman Research Institute, City of Hope",2023-01-08,genomics,"Chromatin-associated RNAs (caRNAs) form a relatively poorly recognized layer of the epigenome. The caRNAs reported to date are transcribed from the nuclear genome. Here, leveraging a recently developed assay for detection of caRNAs and their genomic association, we report that mitochondrial RNAs (mtRNAs) are attached to the nuclear genome and constitute a subset of caRNA, which we termed mt-caRNA. In four human cell types analyzed, mt-caRNAs preferentially attach to promoter regions. In human endothelial cells (ECs), the level of mt-caRNA-promoter attachment changes in response to environmental stress that mimics diabetes. Suppression of a non-coding mt-caRNA in ECs attenuates stress-induced nascent RNA transcription from the nuclear genome, including that of critical genes regulating cell adhesion, and abolishes stress-induced monocyte adhesion, a hallmark of dysfunctional ECs. Finally, we report increased nuclear localization of multiple mtRNAs in the ECs of human diabetic donors, suggesting many mtRNA translocate to the nucleus in a cell stress and disease-dependent manner. These data nominate mt-caRNAs as messenger molecules responsible for mitochondrial-nuclear communication and connect the immediate product of mitochondrial transcription with the transcriptional regulation of the nuclear genome.",https://www.biorxiv.org/content/early/2023/01/08/2022.12.10.519922,"Title: Regulation of Nuclear Transcription by Mitochondrial RNA; Authors: Sriram, K.; Qi, Z.; Yuan, D.; Malhi, N. K.; Liu, X.; Calandrelli, R.; Luo, Y.; Jin, S.; Shi, J.; Salas, M.; Dang, R.; Armstrong, B.; Priceman, S. J.; Wang, P.; Liao, J.; Natarajan, R.; Zhong, S.; Chen, Z. B.; Corresponding Author: Zhen Bouman Chen; Author Institution: Beckman Research Institute, City of Hope; Category: genomics; Abstract: Chromatin-associated RNAs (caRNAs) form a relatively poorly recognized layer of the epigenome. The caRNAs reported to date are transcribed from the nuclear genome. Here, leveraging a recently developed assay for detection of caRNAs and their genomic association, we report that mitochondrial RNAs (mtRNAs) are attached to the nuclear genome and constitute a subset of caRNA, which we termed mt-caRNA. In four human cell types analyzed, mt-caRNAs preferentially attach to promoter regions. In human endothelial cells (ECs), the level of mt-caRNA-promoter attachment changes in response to environmental stress that mimics diabetes. Suppression of a non-coding mt-caRNA in ECs attenuates stress-induced nascent RNA transcription from the nuclear genome, including that of critical genes regulating cell adhesion, and abolishes stress-induced monocyte adhesion, a hallmark of dysfunctional ECs. Finally, we report increased nuclear localization of multiple mtRNAs in the ECs of human diabetic donors, suggesting many mtRNA translocate to the nucleus in a cell stress and disease-dependent manner. These data nominate mt-caRNAs as messenger molecules responsible for mitochondrial-nuclear communication and connect the immediate product of mitochondrial transcription with the transcriptional regulation of the nuclear genome.",395
4,10.1101/2023.01.06.523026,A biochemical analysis of Black Soldier fly (Hermetia illucens) larval frass plant growth promoting activity,"Green, T. R.",Terrence R Green,DipTerra LLC,2023-01-08,biochemistry,"Black Soldier fly (Hermetia illucens) larval (BSFL) frass separated from BSFL processed catering waste, and that recovered directly from larvae, was examined for its nitrogen, phosphate and potassium (N:P205:K2O), phytohormone and biogenic amine content, its plant growth promoting activity, and screened to test the hypothesis that bacteria characteristic of the genus Enterococcus, present in the biome of decaying catering waste and the larval gut, pass freely through the gut and are excreted in viable form into their frass. Its plant growth promoting activity was measured by comparing the growth of winter wheat berry (Triticum aestivum) grown in frass treated soil relative to that measured in untreated (control) soil. Its N:P205:K2O, biogenic amine and phytohormone composition were determined by standard soil analysis, HPLC and HPLC/GC-MS methodologies, respectively, and found to be too low to account for its plant growth promoting activity which induced a 11% increase in arial mass and shoot length in treated plants over controls. Colonies of Enterococci grew out on streaking frass collected directly from larvae on standard bile-esculin azide agar culture plates, confirming the hypothesis that viable Enteroccoci are excreted in their frass. Since Enterococci are capable of colonizing the rhizosphere and boosting the growth of plants on amendment into soil, these findings lend further insight into the underlying mechanism(s) accounting for the increased growth of plants growing in frass treated soils.",https://www.biorxiv.org/content/early/2023/01/08/2023.01.06.523026,"Title: A biochemical analysis of Black Soldier fly (Hermetia illucens) larval frass plant growth promoting activity; Authors: Green, T. R.; Corresponding Author: Terrence R Green; Author Institution: DipTerra LLC; Category: biochemistry; Abstract: Black Soldier fly (Hermetia illucens) larval (BSFL) frass separated from BSFL processed catering waste, and that recovered directly from larvae, was examined for its nitrogen, phosphate and potassium (N:P205:K2O), phytohormone and biogenic amine content, its plant growth promoting activity, and screened to test the hypothesis that bacteria characteristic of the genus Enterococcus, present in the biome of decaying catering waste and the larval gut, pass freely through the gut and are excreted in viable form into their frass. Its plant growth promoting activity was measured by comparing the growth of winter wheat berry (Triticum aestivum) grown in frass treated soil relative to that measured in untreated (control) soil. Its N:P205:K2O, biogenic amine and phytohormone composition were determined by standard soil analysis, HPLC and HPLC/GC-MS methodologies, respectively, and found to be too low to account for its plant growth promoting activity which induced a 11% increase in arial mass and shoot length in treated plants over controls. Colonies of Enterococci grew out on streaking frass collected directly from larvae on standard bile-esculin azide agar culture plates, confirming the hypothesis that viable Enteroccoci are excreted in their frass. Since Enterococci are capable of colonizing the rhizosphere and boosting the growth of plants on amendment into soil, these findings lend further insight into the underlying mechanism(s) accounting for the increased growth of plants growing in frass treated soils.",390
5,10.1101/2023.01.07.523116,Theory and practice of using cell strainers to sort Caenorhabditis elegans by size,"Lanier, V. J.; White, A. M.; Faumont, S.; Lockery, S.",Shawn Lockery,University of Oregon,2023-01-08,bioengineering,"The nematode Caenorhabditis elegans is a model organism widely used in basic, translational, and industrial research. C. elegans development is characterized by five morphologically distinct stages, including four larval stages and the adult stage. Stages differ in a variety of aspects including size, gene expression, physiology, and behavior. Enrichment for a particular developmental stage is often the first step in experimental design. When many hundreds of worms are required, the standard methods of enrichment are to grow a synchronized population of hatchlings for a fixed time, or to sort a mixed population of worms according to size. Current size-sorting methods have higher throughput than synchronization and avoid its use of harsh chemicals. However, these size-sorting methods currently require expensive instrumentation or custom microfluidic devices, both of which are unavailable to the majority C. elegans laboratories. Accordingly, there is a need for inexpensive, accessible sorting strategies. We investigated the use of low-cost, commercially available cell strainers to filter C. elegans by size. We found that the probability of recovery after filtration as a function of body size for cell strainers of three different mesh sizes is well described by logistic functions. Application of these functions to predict filtration outcomes revealed non-ideal properties of filtration of worms by cell strainers that nevertheless enhanced filtration outcomes. Further, we found that serial filtration using a pair of strainers that have different mesh sizes can be used to enrich for particular larval stages with a purity close to that of synchronization, the most widely used enrichment method. Throughput of the cell strainer method, up to 14,000 worms per minute, greatly exceeds that of other enrichment methods. We conclude that size sorting by cell strainers is a useful addition to the array of existing methods for enrichment of particular developmental stages in C. elegans.",https://www.biorxiv.org/content/early/2023/01/08/2023.01.07.523116,"Title: Theory and practice of using cell strainers to sort Caenorhabditis elegans by size; Authors: Lanier, V. J.; White, A. M.; Faumont, S.; Lockery, S.; Corresponding Author: Shawn Lockery; Author Institution: University of Oregon; Category: bioengineering; Abstract: The nematode Caenorhabditis elegans is a model organism widely used in basic, translational, and industrial research. C. elegans development is characterized by five morphologically distinct stages, including four larval stages and the adult stage. Stages differ in a variety of aspects including size, gene expression, physiology, and behavior. Enrichment for a particular developmental stage is often the first step in experimental design. When many hundreds of worms are required, the standard methods of enrichment are to grow a synchronized population of hatchlings for a fixed time, or to sort a mixed population of worms according to size. Current size-sorting methods have higher throughput than synchronization and avoid its use of harsh chemicals. However, these size-sorting methods currently require expensive instrumentation or custom microfluidic devices, both of which are unavailable to the majority C. elegans laboratories. Accordingly, there is a need for inexpensive, accessible sorting strategies. We investigated the use of low-cost, commercially available cell strainers to filter C. elegans by size. We found that the probability of recovery after filtration as a function of body size for cell strainers of three different mesh sizes is well described by logistic functions. Application of these functions to predict filtration outcomes revealed non-ideal properties of filtration of worms by cell strainers that nevertheless enhanced filtration outcomes. Further, we found that serial filtration using a pair of strainers that have different mesh sizes can be used to enrich for particular larval stages with a purity close to that of synchronization, the most widely used enrichment method. Throughput of the cell strainer method, up to 14,000 worms per minute, greatly exceeds that of other enrichment methods. We conclude that size sorting by cell strainers is a useful addition to the array of existing methods for enrichment of particular developmental stages in C. elegans.",440
6,10.1101/2023.01.06.522834,DNA methylation signature in NSD2 loss-of-function variants appeared similar to that in Wolf-Hirschhorn syndrome,"Kawai, T.; Kinoshita, S.; Takayama, Y.; Onishi, E.; Kamura, H.; Kojima, K.; Kikuchi, H.; Terao, M.; Sugawara, T.; Migita, O.; Kagami, M.; Isojima, T.; Yamaguchi, Y.; Wakui, K.; Ohashi, H.; Shimizu, K.; Mizuno, S.; Okamoto, N.; Fukushima, Y.; Takada, F.; Kosaki, K.; Takada, S.; Akutsu, H.; Ura, K.; Nakabayashi, K.; Hata, K.",Kenichiro Hata,Gunma University Graduate School of Medicine,2023-01-08,genetics,"PurposeWolf-Hirschhorn syndrome (WHS), a contiguous gene syndrome caused by the hemizygous deletion of the distal short arm of chromosome 4 where NSD2 is, reportedly exhibits specific DNA methylation signatures in peripheral blood cells. However, responsible genomic loci for signatures are unreported. The objective of the study is to define the loci of WHS-related DNA methylation signatures and to explore the role of NSD2 for the signatures.

MethodsWe conducted genome-wide methylation analysis of individuals with WHS or NSD2 variants using array. We studied genome-edited knock in mice or induced pluripotent stem cells to explore the function of NSD2 variants which are observed in congenital anomaly cases.

ResultsThree undiagnosed cases with NSD2 variants showed WHS-related DNA methylation signatures. These variants were validated to be NSD2 loss-of-function in induced pluripotent stem cells or genome-edited knock-in mice. p.Pro905Leu variant decreased Nsd2 protein levels, and changed Histone H3-Lysine 36 demethylation levels in similar way in the same genomic regions as Nsd2 knock out mice regulated. Nsd2 knock out mice exhibited common DNA methylation changes.

ConclusionThese results revealed that WHS-related DNA methylation signatures are dependent on NSD2 dysfunction and are useful in diagnosing NSD2 variants of unknown significance.",https://www.biorxiv.org/content/early/2023/01/08/2023.01.06.522834,"Title: DNA methylation signature in NSD2 loss-of-function variants appeared similar to that in Wolf-Hirschhorn syndrome; Authors: Kawai, T.; Kinoshita, S.; Takayama, Y.; Onishi, E.; Kamura, H.; Kojima, K.; Kikuchi, H.; Terao, M.; Sugawara, T.; Migita, O.; Kagami, M.; Isojima, T.; Yamaguchi, Y.; Wakui, K.; Ohashi, H.; Shimizu, K.; Mizuno, S.; Okamoto, N.; Fukushima, Y.; Takada, F.; Kosaki, K.; Takada, S.; Akutsu, H.; Ura, K.; Nakabayashi, K.; Hata, K.; Corresponding Author: Kenichiro Hata; Author Institution: Gunma University Graduate School of Medicine; Category: genetics; Abstract: PurposeWolf-Hirschhorn syndrome (WHS), a contiguous gene syndrome caused by the hemizygous deletion of the distal short arm of chromosome 4 where NSD2 is, reportedly exhibits specific DNA methylation signatures in peripheral blood cells. However, responsible genomic loci for signatures are unreported. The objective of the study is to define the loci of WHS-related DNA methylation signatures and to explore the role of NSD2 for the signatures.

MethodsWe conducted genome-wide methylation analysis of individuals with WHS or NSD2 variants using array. We studied genome-edited knock in mice or induced pluripotent stem cells to explore the function of NSD2 variants which are observed in congenital anomaly cases.

ResultsThree undiagnosed cases with NSD2 variants showed WHS-related DNA methylation signatures. These variants were validated to be NSD2 loss-of-function in induced pluripotent stem cells or genome-edited knock-in mice. p.Pro905Leu variant decreased Nsd2 protein levels, and changed Histone H3-Lysine 36 demethylation levels in similar way in the same genomic regions as Nsd2 knock out mice regulated. Nsd2 knock out mice exhibited common DNA methylation changes.

ConclusionThese results revealed that WHS-related DNA methylation signatures are dependent on NSD2 dysfunction and are useful in diagnosing NSD2 variants of unknown significance.",481
7,10.1101/2023.01.07.523110,Secretion encoded single-cell sequencing (SEC-seq) uncovers gene expression signatures associated with high VEGF-A secretion in mesenchymal stromal cells,"Udani, S.; Langerman, J.; Koo, D.; Baghdasarian, S.; Cheng, B.; Kang, S.; Soemardy, C.; de Rutte, J.; Plath, K.; Di Carlo, D.",Dino Di Carlo,"University of California, Los Angeles",2023-01-08,bioengineering,"Cells secrete numerous bioactive molecules essential for the function of healthy organisms. However, there are no scalable methods to link individual cell secretions to their transcriptional state. By developing and using secretion encoded single-cell sequencing (SEC-seq), which exploits hydrogel nanovials to capture individual cells and their secretions, we simultaneously measured the secretion of vascular endothelial growth factor A (VEGF-A) and the transcriptome for thousands of individual mesenchymal stromal cells (MSCs). We found that VEGF-A secretion is heterogeneous across the cell population and lowly correlated with the VEGFA transcript level. While there is a modest population-wide increase in VEGF-A secretion by hypoxic induction, highest VEGF-A secretion across normoxic and hypoxic culture conditions occurs in a subpopulation of MSCs characterized by a unique gene expression signature. Taken together, SEC-seq enables the identification of specific genes involved in the control of secretory states, which may be exploited for developing means to modulate cellular secretion for disease treatment.",https://www.biorxiv.org/content/early/2023/01/08/2023.01.07.523110,"Title: Secretion encoded single-cell sequencing (SEC-seq) uncovers gene expression signatures associated with high VEGF-A secretion in mesenchymal stromal cells; Authors: Udani, S.; Langerman, J.; Koo, D.; Baghdasarian, S.; Cheng, B.; Kang, S.; Soemardy, C.; de Rutte, J.; Plath, K.; Di Carlo, D.; Corresponding Author: Dino Di Carlo; Author Institution: University of California, Los Angeles; Category: bioengineering; Abstract: Cells secrete numerous bioactive molecules essential for the function of healthy organisms. However, there are no scalable methods to link individual cell secretions to their transcriptional state. By developing and using secretion encoded single-cell sequencing (SEC-seq), which exploits hydrogel nanovials to capture individual cells and their secretions, we simultaneously measured the secretion of vascular endothelial growth factor A (VEGF-A) and the transcriptome for thousands of individual mesenchymal stromal cells (MSCs). We found that VEGF-A secretion is heterogeneous across the cell population and lowly correlated with the VEGFA transcript level. While there is a modest population-wide increase in VEGF-A secretion by hypoxic induction, highest VEGF-A secretion across normoxic and hypoxic culture conditions occurs in a subpopulation of MSCs characterized by a unique gene expression signature. Taken together, SEC-seq enables the identification of specific genes involved in the control of secretory states, which may be exploited for developing means to modulate cellular secretion for disease treatment.",329
8,10.1101/2023.01.06.523035,Linking fluid-axons interactions to the macroscopic fluid transport properties of the brain,"Yuan, T.; Zhan, W.; Dini, D.",Tian Yuan,Imperial College London,2023-01-08,bioengineering,"Many brain disorders, including Alzheimers Disease and Parkinsons Disease, and drug delivery procedures are linked to fluid transport in the brain; yet, while neurons are extremely soft and can be easily deformed, how the microscale channel flow interacts with the neuronal structures (especially axons) deformation and how this interactions affect the macroscale tissue function and transport properties is poorly understood. Misrepresenting these relationships may lead to the erroneous prediction of e.g. disease spread, drug delivery, and nerve injury in the brain. However, understanding fluid-neuron interactions is an outstanding challenge because the behaviours of both phases are not only dynamic but also occur at an extremely small length scale (the width of flow channel is [~]100 nm), which cannot be captured by the state-of-the-art experimental techniques. Here, by explicitly simulating dynamics of the flow and axons at the microstructural level, we, for the first time, establish the link between micromechanical tissue response to the physical laws governing the macroscopic transport property of the brain white matter. We found that interactions between axons and the interstitial flow is very strong, thus playing an essential role in the brain fluid/mass transport. Furthermore, we proposed the first anisotropic pressure-dependent permeability tensor informed by microstructural dynamics for more accurate brain modelling at the macroscale, and analysed the effect of the variation of the microstructural parameters that influence such tensor. These findings will sheds light on some unsolved issues linked to brain functions and medical treatments relying on intracerebral transport, and the mathematical model provides a framework to more realistically model the brain and design the brain-tissue-like biomaterials.

Statement of significanceThis study reveals how neurons interact with the fluid flowing around them and how these microscale interactions affect macroscale transport behaviour of the brain tissue. The findings provide unprecedented insights into some unsolved issues linked to brain functions and medical treatments relying on intracerebral fluid transport. Furthermore, we, for the first time, established a microstructure-informed permeability tensor as a function of local hydraulic pressure and pressure gradient for the brain tissue, which inherently captures the dynamic transport property of the brain. This study is a cornerstone to advance the predicting accuracy of brain tissue transport property and neural tissue engineering.",https://www.biorxiv.org/content/early/2023/01/08/2023.01.06.523035,"Title: Linking fluid-axons interactions to the macroscopic fluid transport properties of the brain; Authors: Yuan, T.; Zhan, W.; Dini, D.; Corresponding Author: Tian Yuan; Author Institution: Imperial College London; Category: bioengineering; Abstract: Many brain disorders, including Alzheimers Disease and Parkinsons Disease, and drug delivery procedures are linked to fluid transport in the brain; yet, while neurons are extremely soft and can be easily deformed, how the microscale channel flow interacts with the neuronal structures (especially axons) deformation and how this interactions affect the macroscale tissue function and transport properties is poorly understood. Misrepresenting these relationships may lead to the erroneous prediction of e.g. disease spread, drug delivery, and nerve injury in the brain. However, understanding fluid-neuron interactions is an outstanding challenge because the behaviours of both phases are not only dynamic but also occur at an extremely small length scale (the width of flow channel is [~]100 nm), which cannot be captured by the state-of-the-art experimental techniques. Here, by explicitly simulating dynamics of the flow and axons at the microstructural level, we, for the first time, establish the link between micromechanical tissue response to the physical laws governing the macroscopic transport property of the brain white matter. We found that interactions between axons and the interstitial flow is very strong, thus playing an essential role in the brain fluid/mass transport. Furthermore, we proposed the first anisotropic pressure-dependent permeability tensor informed by microstructural dynamics for more accurate brain modelling at the macroscale, and analysed the effect of the variation of the microstructural parameters that influence such tensor. These findings will sheds light on some unsolved issues linked to brain functions and medical treatments relying on intracerebral transport, and the mathematical model provides a framework to more realistically model the brain and design the brain-tissue-like biomaterials.

Statement of significanceThis study reveals how neurons interact with the fluid flowing around them and how these microscale interactions affect macroscale transport behaviour of the brain tissue. The findings provide unprecedented insights into some unsolved issues linked to brain functions and medical treatments relying on intracerebral fluid transport. Furthermore, we, for the first time, established a microstructure-informed permeability tensor as a function of local hydraulic pressure and pressure gradient for the brain tissue, which inherently captures the dynamic transport property of the brain. This study is a cornerstone to advance the predicting accuracy of brain tissue transport property and neural tissue engineering.",514
9,10.1101/2023.01.07.523118,Ex Vivo Biomechanical Characterization of Umbilical Vessels: Possible Shunts in Congenital Heart Palliation,"Murtada, S.-I.; Ramachandra, A. B.; Humphrey, J. D.",Jay D. Humphrey,Yale University,2023-01-08,bioengineering,"Children born with single ventricle defects undergo staged palliative surgeries to reconstruct the circulation to improve transport of deoxygenated blood to the lungs. As part of the first surgery, a temporary shunt (Blalock-Thomas-Taussig) is often created in neonates to connect a systemic and a pulmonary artery. Standard-of-care shunts are synthetic, which can lead to thrombosis, and much stiffer than the two host vessels, which can cause adverse mechanobiological responses. Moreover, the neonatal vasculature can undergo significant changes in size and structure over a short period, thus constraining the use of a non-growing synthetic shunt. Recent studies suggest that autologous umbilical vessels could serve as improved shunts, but there has not been a detailed biomechanical characterization of the four primary vessels - subclavian artery, pulmonary artery, umbilical vein, and umbilical artery. Herein, we biomechanically phenotype umbilical veins and arteries from prenatal mice (E18.5) and compare them to subclavian and pulmonary arteries harvested at two critical postnatal developmental ages (P10, P21). Comparisons include age-specific physiological conditions and simulated  surgical-like shunt conditions. Results suggest that the intact umbilical vein is a better choice as a shunt than the umbilical artery due to concerns with lumen closure and constriction related-intramural damage in the latter. Yet, decellularization of umbilical arteries may be a viable alternative, with the possibility of host cellular infiltration and subsequent remodeling. Given recent efforts using autologous umbilical vessels as Blalock-Thomas-Taussig shunts in a clinical trial, our findings highlight aspects of the associated biomechanics that deserve further investigation.",https://www.biorxiv.org/content/early/2023/01/08/2023.01.07.523118,"Title: Ex Vivo Biomechanical Characterization of Umbilical Vessels: Possible Shunts in Congenital Heart Palliation; Authors: Murtada, S.-I.; Ramachandra, A. B.; Humphrey, J. D.; Corresponding Author: Jay D. Humphrey; Author Institution: Yale University; Category: bioengineering; Abstract: Children born with single ventricle defects undergo staged palliative surgeries to reconstruct the circulation to improve transport of deoxygenated blood to the lungs. As part of the first surgery, a temporary shunt (Blalock-Thomas-Taussig) is often created in neonates to connect a systemic and a pulmonary artery. Standard-of-care shunts are synthetic, which can lead to thrombosis, and much stiffer than the two host vessels, which can cause adverse mechanobiological responses. Moreover, the neonatal vasculature can undergo significant changes in size and structure over a short period, thus constraining the use of a non-growing synthetic shunt. Recent studies suggest that autologous umbilical vessels could serve as improved shunts, but there has not been a detailed biomechanical characterization of the four primary vessels - subclavian artery, pulmonary artery, umbilical vein, and umbilical artery. Herein, we biomechanically phenotype umbilical veins and arteries from prenatal mice (E18.5) and compare them to subclavian and pulmonary arteries harvested at two critical postnatal developmental ages (P10, P21). Comparisons include age-specific physiological conditions and simulated  surgical-like shunt conditions. Results suggest that the intact umbilical vein is a better choice as a shunt than the umbilical artery due to concerns with lumen closure and constriction related-intramural damage in the latter. Yet, decellularization of umbilical arteries may be a viable alternative, with the possibility of host cellular infiltration and subsequent remodeling. Given recent efforts using autologous umbilical vessels as Blalock-Thomas-Taussig shunts in a clinical trial, our findings highlight aspects of the associated biomechanics that deserve further investigation.",441
